year,design,park_url,park_name,n_rides
1949,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1949,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1949,sit_down,https://rcdb.com/9250.htm,luna_park,1
1950,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1950,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1950,sit_down,https://rcdb.com/4553.htm,kennywood,3
1950,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1950,sit_down,https://rcdb.com/4570.htm,lagoon,1
1950,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1950,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1950,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1950,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1950,sit_down,https://rcdb.com/9250.htm,luna_park,1
1951,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1951,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1951,sit_down,https://rcdb.com/4553.htm,kennywood,3
1951,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1951,sit_down,https://rcdb.com/4570.htm,lagoon,1
1951,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1951,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1951,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1951,sit_down,https://rcdb.com/4646.htm,waldameer,1
1951,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1951,sit_down,https://rcdb.com/9250.htm,luna_park,1
1952,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1952,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1952,sit_down,https://rcdb.com/4553.htm,kennywood,3
1952,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1952,sit_down,https://rcdb.com/4570.htm,lagoon,1
1952,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1952,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1952,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1952,sit_down,https://rcdb.com/4646.htm,waldameer,1
1952,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1952,sit_down,https://rcdb.com/9250.htm,luna_park,1
1953,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1953,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1953,sit_down,https://rcdb.com/4553.htm,kennywood,3
1953,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1953,sit_down,https://rcdb.com/4570.htm,lagoon,1
1953,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1953,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1953,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1953,sit_down,https://rcdb.com/4646.htm,waldameer,1
1953,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1953,sit_down,https://rcdb.com/9250.htm,luna_park,1
1954,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1954,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1954,sit_down,https://rcdb.com/4553.htm,kennywood,3
1954,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1954,sit_down,https://rcdb.com/4570.htm,lagoon,1
1954,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1954,sit_down,https://rcdb.com/4583.htm,seabreeze,1
1954,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1954,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1954,sit_down,https://rcdb.com/4646.htm,waldameer,1
1954,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1954,sit_down,https://rcdb.com/9250.htm,luna_park,1
1955,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1955,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1955,sit_down,https://rcdb.com/4553.htm,kennywood,3
1955,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1955,sit_down,https://rcdb.com/4570.htm,lagoon,1
1955,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1955,sit_down,https://rcdb.com/4583.htm,seabreeze,1
1955,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1955,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1955,sit_down,https://rcdb.com/4646.htm,waldameer,1
1955,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1955,sit_down,https://rcdb.com/9250.htm,luna_park,1
1956,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1956,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1956,sit_down,https://rcdb.com/4553.htm,kennywood,3
1956,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1956,sit_down,https://rcdb.com/4570.htm,lagoon,1
1956,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1956,sit_down,https://rcdb.com/4583.htm,seabreeze,1
1956,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1956,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1956,sit_down,https://rcdb.com/4611.htm,columbus_zoo_and_aquarium,1
1956,sit_down,https://rcdb.com/4646.htm,waldameer,1
1956,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1956,sit_down,https://rcdb.com/9250.htm,luna_park,1
1957,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1957,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1957,sit_down,https://rcdb.com/4553.htm,kennywood,3
1957,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1957,sit_down,https://rcdb.com/4570.htm,lagoon,1
1957,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1957,sit_down,https://rcdb.com/4583.htm,seabreeze,1
1957,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1957,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1957,sit_down,https://rcdb.com/4611.htm,columbus_zoo_and_aquarium,1
1957,sit_down,https://rcdb.com/4646.htm,waldameer,1
1957,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1957,sit_down,https://rcdb.com/9250.htm,luna_park,1
1958,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1958,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1958,sit_down,https://rcdb.com/4553.htm,kennywood,3
1958,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
